signal_ts,entry_ts,direction,structural_stop,atr_buffer,stop,stop_distance,ref_close,atr15,spread,zone_id,zone_lo,zone_hi,zone_touches,setup,session,regime,bars_to_retest,retest_completed,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2016-07-08 18:45:00+00:00,2016-07-08 19:00:00+00:00,1,1355.563,1.481,1354.082,8.699,1362.781,2.962,0.3158,238,1355.563,1360.596,2,retest,newyork,bull,4,True,0.8785,0.1049,0.0166,0.8951,2.626
2016-07-12 11:45:00+00:00,2016-07-12 12:00:00+00:00,1,1346.46,0.954,1345.506,2.939,1348.446,1.908,0.2969,246,1348.86,1353.001,2,retest,london,bull,6,True,0.6606,0.111,0.2283,0.889,2.233
2016-08-02 11:00:00+00:00,2016-08-02 11:15:00+00:00,1,1353.369,0.695,1352.674,5.115,1357.789,1.39,0.2831,238,1353.369,1360.259,3,retest,london,bull,11,True,0.3655,0.0225,0.6119,0.9775,0.932
2016-08-04 07:15:00+00:00,2016-08-04 07:30:00+00:00,1,1348.86,0.745,1348.115,3.79,1351.905,1.489,0.3279,246,1348.86,1353.001,2,retest,london,bull,7,True,0.8415,0.1222,0.0363,0.8778,2.496
2016-08-10 07:30:00+00:00,2016-08-10 07:45:00+00:00,1,1347.788,0.655,1347.132,4.838,1351.97,1.311,0.295,246,1347.788,1352.405,3,retest,london,bull,11,True,0.0999,0.1879,0.7122,0.8121,1.011
2016-08-19 07:45:00+00:00,2016-08-19 08:00:00+00:00,1,1343.935,0.62,1343.316,4.153,1347.468,1.239,0.2578,248,1343.935,1348.931,2,retest,london,bull,10,True,0.2136,0.0815,0.7049,0.9185,1.491
2016-09-27 15:45:00+00:00,2016-09-27 16:00:00+00:00,1,1324.386,0.849,1323.537,3.458,1326.994,1.698,0.2621,259,1324.386,1327.255,2,retest,newyork,bull,7,True,0.4535,0.1268,0.4198,0.8732,2.568
2016-11-28 13:30:00+00:00,2016-11-28 13:45:00+00:00,-1,1195.242,1.028,1196.27,8.118,1188.151,2.056,0.2411,299,1189.03,1195.242,2,retest,overlap,bear,3,True,0.3147,0.5662,0.1191,0.1191,1.734
2016-11-28 18:30:00+00:00,2016-11-28 18:45:00+00:00,-1,1195.242,0.961,1196.203,5.572,1190.63,1.922,0.2503,299,1189.03,1195.242,2,retest,newyork,bear,4,True,0.49,0.2178,0.2922,0.2922,1.102
2016-12-09 13:30:00+00:00,2016-12-09 13:45:00+00:00,-1,1170.205,0.947,1171.151,4.038,1167.113,1.894,0.2972,303,1164.122,1168.435,2,retest,overlap,bear,6,True,0.4295,0.5312,0.0393,0.0393,3.218
2016-12-12 13:45:00+00:00,2016-12-12 14:00:00+00:00,-1,1162.781,0.898,1163.678,4.138,1159.54,1.795,0.2719,302,1155.346,1162.781,2,retest,overlap,bear,3,True,0.5075,0.2915,0.201,0.201,2.007
2016-12-12 18:30:00+00:00,2016-12-12 18:45:00+00:00,-1,1168.435,0.929,1169.364,6.555,1162.809,1.859,0.2634,303,1164.122,1168.435,2,retest,newyork,bear,1,True,0.6629,0.3008,0.0363,0.0363,1.624
