signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held,structural_stop,atr_buffer,stop_distance,atr15,spread,zone_lo,zone_hi,zone_touches,regime,bars_to_retest,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2017-04-21 13:00:00+00:00,2017-04-21 13:15:00+00:00,2017-04-21 14:19:00+00:00,BUY,overlap,rejection,359,1283.792,1279.647,1292.082,1279.597,stop,4.145,5.943,-24.93,-1.012,9828.56,,1280.22,0.573,4.0,1.146,0.2362,1280.22,1283.221,2,bull,,0.5932,0.0943,0.3125,0.9057,1.957
2017-04-21 14:30:00+00:00,2017-04-21 14:45:00+00:00,2017-04-23 22:00:00+00:00,BUY,overlap,rejection,359,1284.072,1278.362,1295.492,1278.312,stop,5.71,4.3032,-24.79,-1.009,9803.77,25.0,1279.139,0.777,5.529,1.554,0.2223,1280.22,1283.221,2,bull,,0.6875,0.1713,0.1411,0.8287,3.876
2017-05-31 18:45:00+00:00,2017-05-31 19:00:00+00:00,2017-05-31 20:59:00+00:00,BUY,newyork,rejection,377,1272.209,1267.851,1280.925,1267.801,stop,4.358,5.624,-24.79,-1.011,9778.98,,1268.6,0.75,4.236,1.5,0.2435,1268.6,1271.498,2,bull,,0.7454,0.0904,0.1642,0.9096,1.261
2017-06-22 14:00:00+00:00,2017-06-22 14:15:00+00:00,2017-06-23 08:10:00+00:00,SELL,overlap,rejection,355,1250.129,1254.943,1240.501,1254.993,stop,4.814,5.0784,-24.7,-1.01,9754.28,,1254.347,0.596,4.634,1.191,0.2459,1250.353,1254.347,5,bull,,0.4605,0.3275,0.2121,0.2121,1.53
2017-06-28 09:00:00+00:00,2017-06-28 09:15:00+00:00,2017-06-29 12:41:00+00:00,SELL,london,rejection,388,1251.872,1256.478,1242.66,1242.66,target,4.606,5.2943,48.77,2.0,9803.05,,1255.916,0.562,4.418,1.124,0.2295,1252.076,1255.916,2,bull,,0.5993,0.3355,0.0653,0.0653,1.808
2017-06-29 14:30:00+00:00,2017-06-29 14:45:00+00:00,2017-07-03 10:31:00+00:00,SELL,overlap,rejection,389,1244.478,1249.835,1233.764,1233.764,target,5.357,4.5749,49.02,2.0,9852.07,,1249.009,0.826,5.191,1.652,0.2521,1245.703,1249.009,2,bull,,0.771,0.0902,0.1388,0.1388,1.409
2017-07-11 16:45:00+00:00,2017-07-11 17:00:00+00:00,2017-07-12 12:44:00+00:00,SELL,newyork,rejection,391,1215.689,1221.013,1205.041,1221.063,stop,5.324,4.6263,-24.86,-1.009,9827.21,,1220.241,0.772,5.164,1.543,0.229,1216.488,1220.241,3,bull,,0.5451,0.3834,0.0715,0.0715,1.336
2017-08-09 15:15:00+00:00,2017-08-09 15:30:00+00:00,2017-08-10 13:03:00+00:00,BUY,overlap,rejection,406,1274.371,1268.965,1285.183,1285.183,target,5.406,4.5446,49.14,2.0,9876.34,,1269.825,0.861,5.227,1.722,0.2297,1269.825,1274.002,3,bull,,0.7237,0.063,0.2133,0.937,1.826
2017-08-18 14:45:00+00:00,2017-08-18 15:00:00+00:00,2017-08-18 16:15:00+00:00,BUY,overlap,rejection,411,1294.821,1287.952,1308.559,1287.902,stop,6.869,3.5945,-24.87,-1.007,9851.47,5.0,1288.968,1.016,6.649,2.031,0.2317,1288.968,1293.452,2,bull,,0.7296,0.2495,0.021,0.7505,1.646
2017-08-22 14:00:00+00:00,2017-08-22 14:15:00+00:00,2017-08-25 13:41:00+00:00,BUY,overlap,rejection,412,1285.308,1278.491,1298.942,1278.441,stop,6.817,3.6128,-24.81,-1.007,9826.66,,1279.405,0.915,6.644,1.829,0.2223,1279.405,1282.858,3,bull,,0.3338,0.1705,0.4957,0.8295,3.664
2017-09-05 18:30:00+00:00,2017-09-05 18:45:00+00:00,2017-09-06 14:34:00+00:00,BUY,newyork,rejection,423,1341.552,1335.947,1352.762,1335.897,stop,5.605,4.383,-24.79,-1.009,9801.88,,1336.825,0.878,5.463,1.756,0.2314,1337.369,1341.188,2,bull,,0.6867,0.1737,0.1396,0.8263,1.747
